0.0180,0.0084,0.0090,0.0032,R
0.0140,0.0049,0.0052,0.0044,R
0.0316,0.0164,0.0095,0.0078,R
0.0050,0.0044,0.0040,0.0117,R
0.0072,0.0048,0.0107,0.0094,R
0.0057,0.0027,0.0051,0.0062,R
0.0092,0.0143,0.0036,0.0103,R
0.0085,0.0047,0.0048,0.0053,R
0.0065,0.0093,0.0059,0.0022,R
0.0032,0.0035,0.0056,0.0040,R
0.0042,0.0090,0.0070,0.0099,M
0.0078,0.0047,0.0021,0.0011,M
0.0052,0.0091,0.0008,0.0092,M
0.0030,0.0066,0.0029,0.0053,M
0.0038,0.0101,0.0078,0.0006,M
0.0020,0.0062,0.0026,0.0052,M
0.0024,0.0039,0.0051,0.0015,M
0.0060,0.0045,0.0002,0.0029,M
0.0083,0.0020,0.0048,0.0036,M
0.0072,0.0060,0.0017,0.0036,M
